image_id,caption,n,n_objects,n_relations,n_attributes,n_connected_components,hard_negs,x,y,width,height
512,"a bed with a pillow, book, and sheets on top of it",7,4,3,0,1,"['a bed with a pillow, book, and sheets below top of it', 'a bed with a pillow, magazine, and sheets on top of it', 'a bed with a pillow, book, and fork on top of it', 'a bed with a mat, book, and sheets on top of it', 'a bed with a pillow, book, and pouch on top of it']",83.0,186.0,461.0,280.0
520,a closet door with a handle and door frame,7,4,3,0,1,"['a closet door with a hardware and door frame', 'a lock door with a handle and door frame', 'a closet wall with a handle and door frame', 'a closet hatch with a handle and door frame', 'a closet door with a roach and door frame']",297.0,216.0,235.0,291.0
522,pillows on a bed with posessions and a laptop,7,4,3,0,1,"['mattress on a bed with posessions and a laptop', 'rat on a bed with posessions and a laptop', 'pillows on a desk with posessions and a laptop', 'pillows on a bed with posessions and a notebook', 'pillows below a bed with posessions and a laptop']",42.0,205.0,615.0,390.0
533,a basket on a rug with a light on the floor,7,4,3,0,1,"['a basket on a rug with a light on the platform', 'a basket on a rug with a carrier on the floor', 'a basket on a dolly with a light on the floor', 'a rug on a rug with a light on the floor', 'a basket across a rug with a light on the floor']",118.0,194.0,679.0,402.0
540,a bed with three pillows on it,7,4,3,0,1,"['a bed with three mats on it', 'a chair with three pillows on it', 'a bed with three pillows under it', 'a bed with three mattresss on it', 'a couch with three pillows on it']",71.0,232.0,414.0,309.0
542,"a small picture on the wall, and a large picture in the wall",7,3,2,2,1,"['a small picture on the wall, and a little picture in the wall', 'a small picture on the screen, and a large picture in the wall', 'a small picture on the wall, and a large picture above the wall', 'a small display on the wall, and a large picture in the wall', 'a large picture on the wall, and a large picture in the wall']",1.0,0.0,304.0,595.0
543,"a mirror behind a faucet, with a door and doorknob reflected in the mirror",7,4,3,0,1,"['a mirror behind a faucet, with a door and stop reflected in the mirror', 'a mirror behind a faucet, with a door and butt reflected in the mirror', 'a mirror behind a faucet, with a gate and doorknob reflected in the mirror', 'a stove behind a faucet, with a door and doorknob reflected in the mirror', 'a mirror behind a wheel, with a door and doorknob reflected in the mirror']",275.0,0.0,525.0,409.0
556,a mantle with three candlesticks on it,7,4,3,0,1,"['a mantle with three keyboards on it', 'a mantle with three candlesticks inside it', 'a mantle with three pins on it', 'a staff with three candlesticks on it', 'a mantle with three candlesticks under it']",1.0,82.0,376.0,401.0
559,a skull on the wall next to a fireplace with a fire burning in it,7,4,3,0,1,"['a skull on the wall next to a cylinder with a fire burning in it', 'a skull on the wall next to a battleplace with a fire burning in it', 'a skull on the corner next to a fireplace with a fire burning in it', 'a skull on the wall next to a aquarium with a fire burning in it', 'a skull on the wall next to a fireplace with a fire burnoverg in it']",94.0,2.0,473.0,358.0
560,a statue on a bookshelf with a bowl on top and a book,7,4,3,0,1,"['a statue on a bookshelf with a bucket on top and a book', 'a marble on a bookshelf with a bowl on top and a book', 'a statue under a bookshelf with a bowl on top and a book', 'a statue on a mantle with a bowl on top and a book', 'a statue on a periodicalshelf with a bowl on top and a book']",2.0,0.0,428.0,659.0
564,a fan next to a lamp and a fridge near some cabinets,7,4,3,0,1,"['a bowl next to a lamp and a fridge near some cabinets', 'a fan next to a lamp and a fridge under some cabinets', 'a fan next to a stove and a fridge near some cabinets', 'a rug next to a lamp and a fridge near some cabinets', 'a fan next to a lamp and a fridge near some table']",137.0,0.0,658.0,532.0
569,a man sitting on a chair wearing sneakers and another sneakers,7,4,3,0,1,"['a man sitting on a chair wearing sling and another sneakers', 'a man sitting under a chair wearing sneakers and another sneakers', 'a man sitting across a chair wearing sneakers and another sneakers', 'a child sitting on a chair wearing sneakers and another sneakers', 'a man sitting on a desk wearing sneakers and another sneakers']",331.0,317.0,308.0,281.0
604,windows on a building,7,4,3,0,1,"['horses on a building', 'windows on a tower', 'windows across a building', 'frames on a building', 'windows below a building']",560.0,21.0,222.0,294.0
606,a window on a building in front of a window,7,4,3,0,1,"['a wbelowdow on a building in front of a window', 'a wabovedow on a building in front of a window', 'a window on a building in top of a window', 'a window across a building in front of a window', 'a window under a building in front of a window']",1.0,2.0,340.0,588.0
640,"two paintings on a wall, one next to the other",7,3,2,2,1,"{'two paintings on a plaque, one next to the other', 'two paintings on a screen, one next to the other', 'two landscapes on a wall, one next to the other', 'two paintings on a wall, one next to the same', 'two pieces on a wall, one next to the other'}",5.0,0.0,429.0,528.0
655,mountains with trees and snow and sky,7,4,3,0,2,"['mountains with trees and snow and breath', 'mountains with sage and snow and sky', 'cavern with trees and snow and sky', 'mountains with fern and snow and sky', 'mountains with trees and rain and sky']",3.0,14.0,795.0,403.0
696,"child with light brown nose, monkey holding the child",7,3,2,2,1,"['child with light blue nose, monkey holding the child', 'child with heavy brown nose, monkey holding the child', 'child with light brown nose, ape holding the child', 'man with light brown nose, monkey holding the child', 'child with light brown nose, mouse holding the child']",53.0,89.0,272.0,431.0
710,a window on a building across the water from the sky,7,4,3,0,1,"['a window on a building across the water from the neon', 'a horse on a building across the water from the sky', 'a window on a building across the air from the sky', 'a window below a building across the water from the sky', 'a window on a building in the water from the sky']",196.0,21.0,575.0,549.0
724,chairs in a row with umbrellas above them; there are also tables and chairs,7,4,3,0,1,"['chairs in a row with umbrellas over them; there are also tables and chairs', 'chairs in a row with umbrellas above them; there are also line and chairs', 'chairs in a diagonal with umbrellas above them; there are also tables and chairs', 'counter in a row with umbrellas above them; there are also tables and chairs', 'chairs in a queue with umbrellas above them; there are also tables and chairs']",0.0,41.0,752.0,430.0
738,"a bird, duck, and another duck in water",7,4,3,0,1,"['a bird, duck, and another duck in lime', 'a mammal, duck, and another duck in water', 'a mammalian, duck, and another duck in water', 'a bird, goose, and another duck in water', 'a bird, duck, and another duck over water']",155.0,0.0,488.0,300.0
752,pillars on a building,7,4,3,0,1,"['pillars across a building', 'yangs on a building', 'pillars on a hill', 'pillars under a building', 'pillars on a bridge']",27.0,0.0,769.0,600.0
830,"a light, another light, and another light on or near a street",7,4,3,0,1,"['a light, another light, and another light on or across a street', 'a ultraviolet, another light, and another light on or near a street', 'a light, another light, and another light inside or near a street', 'a light, another light, and another light on or near a freeway', 'a light, another light, and another light on or in a street']",0.0,160.0,799.0,437.0
861,balloons hanging from an awning,7,4,3,0,1,"{'chopper hanging from an awning', 'helicopters hanging from an awning', 'glider hanging from an awning', 'planes hanging from an awning', 'balloons hanging from an umbrella'}",558.0,2.0,212.0,285.0
869,the sidewalk and another sidewalk on a road with a traffic sign,7,4,3,0,1,"['the promenade and another sidewalk on a road with a traffic sign', 'the sidewalk and another sidewalk below a road with a traffic sign', 'the sidewalk and another sidewalk on a sign with a traffic sign', 'the sidewalk and another sidewalk under a road with a traffic sign', 'the boardwalk and another sidewalk on a road with a traffic sign']",2.0,142.0,796.0,456.0
876,a row of buildings with another buildings and another buildings,7,4,3,0,1,"['a file of buildings with another buildings and another buildings', 'a row of arms with another buildings and another buildings', 'a row of buildovergs with another buildings and another buildings', 'a row of row with another buildings and another buildings', 'a chorus of buildings with another buildings and another buildings']",9.0,12.0,789.0,448.0
895,a keyboard with a support and stand beside a monitor,7,4,3,0,1,"['a keyboard with a support and stand beside a boss', 'a box with a support and stand beside a monitor', 'a keyboard with a support and printer beside a monitor', 'a keyboard with a bar and stand beside a monitor', 'a light with a support and stand beside a monitor']",530.0,0.0,261.0,198.0
903,leaves on the ground with a shadow and another shadow,7,4,3,0,1,"['leaves under the ground with a shadow and another shadow', 'runner on the ground with a shadow and another shadow', 'leaves on the moon with a shadow and another shadow', 'pulp on the ground with a shadow and another shadow', 'leaves on the head with a shadow and another shadow']",0.0,100.0,639.0,377.0
918,a sign on a table that is on a floor with tiles,7,4,3,0,1,"['a sign on a table that is on a face with tiles', 'a sign under a table that is on a floor with tiles', 'a sign on a table that is on a beam with tiles', 'a case on a table that is on a floor with tiles', 'a pro on a table that is on a floor with tiles']",275.0,307.0,524.0,292.0
925,people on a truck with a railing and people in the rear of the truck,7,4,3,0,1,"['people on a truck with a wing and people in the rear of the truck', 'people on a car with a railing and people in the rear of the truck', 'people on a truck with a lever and people in the rear of the truck', 'people across a truck with a railing and people in the rear of the truck', 'sign on a truck with a railing and people in the rear of the truck']",40.0,8.0,578.0,432.0
927,a toaster on a counter with a cup and a container,7,4,3,0,1,"['a toaster on a counter with a cup and a window', 'a toaster on a counter with a cup and a bell', 'a mouth on a counter with a cup and a container', 'a toaster inside a counter with a cup and a container', 'a pillar on a counter with a cup and a container']",153.0,239.0,419.0,238.0
960,"car with a headlight, windshield, and a tire",7,4,3,0,1,"['car with a torch, windshield, and a tire', 'car with a flash, windshield, and a tire', 'car with a headlight, shutter, and a tire', 'car with a headlight, windshield, and a rim', 'cat with a headlight, windshield, and a tire']",55.0,44.0,417.0,330.0
990,"a person with a vacuum, a man wearing the person, and another person wearing the man",7,4,3,0,1,"['a plant with a vacuum, a man wearing the person, and another person wearing the man', 'a person with a vacuum, a girl wearing the person, and another person wearing the man', 'a person with a vacuum, a character wearing the person, and another person wearing the man', 'a person with a look, a man wearing the person, and another person wearing the man', 'a head with a vacuum, a man wearing the person, and another person wearing the man']",444.0,328.0,278.0,246.0
1027,people on seats in a row of chairs,7,4,3,0,1,"['people on seats in a chorus of chairs', 'people on seats in a row of counter', 'position on seats in a row of chairs', 'people on formation in a row of chairs', 'people on seats by a row of chairs']",104.0,57.0,266.0,176.0
1033,a display of puffs by cabinets in a bakery,7,4,3,0,1,"['a display of puffs by cabunderets in a bakery', 'a display of puffs by cabbyets in a bakery', 'a display of puffs over cabinets in a bakery', 'a drawing of puffs by cabinets in a bakery', 'a sign of puffs by cabinets in a bakery']",19.0,2.0,630.0,462.0
1067,a wall with a picture near curtains and a lamp on the wall,7,5,2,0,3,"['a wall with a picture near curtains and a bar on the wall', 'a wall with a picture near ground and a lamp on the wall', 'a wall with a picture near facing and a lamp on the wall', 'a wall with a picture near curtains and a lamp inside the wall', 'a wall with a newspaper near curtains and a lamp on the wall']",1.0,2.0,506.0,261.0
1091,a bus with a head rest and windshield; an arm is in the bus,7,4,3,0,1,"['a sedan with a head rest and windshield; an arm is in the bus', 'a semi with a head rest and windshield; an arm is in the bus', 'a bus with a head rest and windshield; an thigh is in the bus', 'a bus with a head rest and wunderdshield; an arm is in the bus', 'a bus with a head rest and facing; an arm is in the bus']",5.0,4.0,527.0,387.0
1098,a wall with a side table and a picture frame; a player is on the wall,7,4,3,0,1,"['a box with a side table and a picture frame; a player is on the wall', 'a wall with a side table and a picture frame; a player is inside the wall', 'a wall with a side table and a picture frame; a poster is on the wall', 'a wall with a side table and a picture frame; a player is below the wall', 'a restaurant with a side table and a picture frame; a player is on the wall']",364.0,2.0,324.0,265.0
1099,three dots on a wall,7,4,3,0,1,"['three drops on a wall', 'three dots on a quad', 'three dots across a wall', 'three dots below a wall', 'three balls on a wall']",410.0,5.0,278.0,189.0
1104,a table and chair in a classroom with a window around it,7,4,3,0,1,"['a table and chair in a classroom with a window below it', 'a row and chair in a classroom with a window around it', 'a table and chair in a parlor with a window around it', 'a table and bed in a classroom with a window around it', 'a head and chair in a classroom with a window around it']",21.0,5.0,762.0,577.0
1128,three beams on the ground,7,4,3,0,1,"['three beams on the wall', 'three beams on the moon', 'three beams under the ground', 'three beams across the ground', 'three posters on the ground']",0.0,150.0,599.0,648.0
1143,a bar with a glass and a tin of coca cola on top,7,5,2,0,3,"['a drawer with a glass and a tin of coca cola on top', 'a bar with a coal and a tin of coca cola on top', 'a bar with a glass and a lead of coca cola on top', 'a bar with a glass and a copper of coca cola on top', 'a cupboard with a glass and a tin of coca cola on top']",0.0,183.0,159.0,266.0
1193,a person on rocks with a child standing on the rocks and a tree standing by the rocks,7,4,3,0,1,"['a persinside on rocks with a child standing on the rocks and a tree standing by the rocks', 'a persbelow on rocks with a child standing on the rocks and a tree standing by the rocks', 'a land on rocks with a child standing on the rocks and a tree standing by the rocks', 'a person on line with a child standing on the rocks and a tree standing by the rocks', 'a person on rocks with a girl standing on the rocks and a tree standing by the rocks']",369.0,49.0,230.0,353.0
1218,a tree with a branch and a horse near the trunk,7,4,3,0,1,"['a tree with a branch and a ass near the trunk', 'a tree with a branch and a horse under the trunk', 'a tree with a branch and a horse in the trunk', 'a cactus with a branch and a horse near the trunk', 'a ginger with a branch and a horse near the trunk']",50.0,19.0,272.0,369.0
1220,people standing on podiums with people wearing hats in the background,7,5,2,0,3,"['people standing on top with people wearing hats in the background', 'man standing on podiums with people wearing hats in the background', 'people standing on dock with people wearing hats in the background', 'people standing on podiums with people wearing helmets in the background', 'humans standing on podiums with people wearing hats in the background']",157.0,117.0,529.0,488.0
